city,date,state,text
Mandeville,Tue Nov 24 23:00:11 +0000 2020,LA,@DavidMora @MargaretOrr @KweilynWDSU @NWSNewOrleans @VisitNewOrleans @LouisianaTravel @BrookeLaizer_Wx @ScotPilie_Wx That’s a bit wonderful
Warner Robins,Tue Nov 24 23:00:32 +0000 2020,GA,@theestallion $KeyyyTripp. #GOODNEWSMEGAN
Lake Butler,Tue Nov 24 23:00:38 +0000 2020,FL,@DonnieWahlberg Safe travels
Seattle,Tue Nov 24 23:00:41 +0000 2020,WA,"All this domestic got me bored. I’m going back foreign. ✌🏽🙇🏽‍♂️✈️🚀👽 
Where should I travel next ?! 🧐🤔👀👀 #travel… https://t.co/6Tr7QI6qPv"
Charlotte,Tue Nov 24 23:00:53 +0000 2020,NC,@IcelandNatural Iceland is starting to be at the top of my list when travel is opened up again.
Eastmont,Tue Nov 24 23:02:24 +0000 2020,WA,"@KennedyNation No, our adult children are traveling to us. Just like normal."
Queens,Tue Nov 24 23:02:35 +0000 2020,NY,Here to say i look good with or without makeup. I ain’t trippin
Norman,Tue Nov 24 23:02:50 +0000 2020,OK,"this is a poem for my roommate when she gets back from her gay little trip: 

i am sorry for
buying the 2-ply TP 
it was all they had"
Mocksville,Tue Nov 24 23:03:21 +0000 2020,NC,"Made my first trip out to @daviecountyhs tonight for #CPC 4A volleyball. #HSOT 🏐

6:15 PM = East Forsyth /… https://t.co/bu1Lcyzg5S"
Mocksville,Tue Nov 24 23:03:39 +0000 2020,NC,"Made my first trip out to @daviecountyhs tonight for #CPC 4A volleyball. #HSOT 🏐

6:15 PM = East Forsyth /… https://t.co/spiCCCaL0t"
Los Angeles,Tue Nov 24 23:04:38 +0000 2020,CA,I think I’m ready for a Triple D tatt and a neck tatt... https://t.co/76X5qxnjVd
Manhattan,Tue Nov 24 23:05:05 +0000 2020,NY,#shhhhh #davidbowie 💙 #wigs #nyc #urbanwoman #globetrotter #worldtraveler #fashionista #NYC #UWS @ Upper West Side https://t.co/Iladlx7O0X
Youngstown,Tue Nov 24 23:06:35 +0000 2020,PA,Just remember this includes cargo flights for all those packages you’ve been buying online and also general aviatio… https://t.co/XZPenHiCaG
West Hollywood,Tue Nov 24 23:06:41 +0000 2020,CA,"So people are just straight up traveling, huh."
Houston,Tue Nov 24 23:07:55 +0000 2020,TX,Thanksgiving don’t really feel like thanksgiving. Or am I tripping
San Jose,Tue Nov 24 23:07:58 +0000 2020,CA,"When I’m sick, my travel photos make me feel better. ❤️ Miss you, @YosemiteNPS! #yosemite #photography #landscape https://t.co/8ve10qh9Z4"
Newark,Tue Nov 24 23:09:20 +0000 2020,DE,@ThaMgr_YettaDee 🤷🏾‍♀️to each their own I enjoy traveling so Imma do my due diligence
Brookhaven,Tue Nov 24 23:09:24 +0000 2020,GA,@TomKGolf @EIGTravel @kinsale_ie @dannybrassil @LiamDeasy @BlacksBrewery @Failte_Ireland @wildatlanticway It was in… https://t.co/2DgAEuHOkA
Grapevine,Tue Nov 24 23:10:17 +0000 2020,TX,Were talking holiday travel tonight on @NewsNOWFOX.
Port Orange,Tue Nov 24 23:10:29 +0000 2020,FL,@notdamboise perfect entertainment for my flight Thursday
Waco,Tue Nov 24 23:11:13 +0000 2020,TX,"no one:
trippie redd: wᵉᵉᵉᵉᵉᵉᵉᵉᵉᵉᵉe"
Jersey Village,Tue Nov 24 23:11:21 +0000 2020,TX,"Looks like a fifth flight this year I’ll have to cancel, as California is requiring people flying in to LAX or Van… https://t.co/JZ0YAXP7GZ"
Magna,Tue Nov 24 23:11:30 +0000 2020,UT,Can’t wait for COVID to go away so I can travel again.
Dallas,Tue Nov 24 23:11:32 +0000 2020,TX,Who wants to come drink Wild Turkey and eat chicken strips with me and Charlie tonight?
Kaanapali,Tue Nov 24 23:11:38 +0000 2020,HI,Hey @HawaiianAir can you please fix your app I'm trying to book a trip ily
Fort Worth,Tue Nov 24 23:11:43 +0000 2020,TX,I have never been so high off them men that day was a fucking trip
Lee's Summit,Tue Nov 24 23:12:11 +0000 2020,MO,Por qué  no soy mujer stripper???? 😪😪😪. https://t.co/38cdnNYTZC
Grapevine,Tue Nov 24 23:12:11 +0000 2020,TX,Officials at the @DFWAirport say travel is projected to be down at the airport by 65% over the #Thanksgiving holida… https://t.co/sZDSlXvYy3
Manhattan,Tue Nov 24 23:12:14 +0000 2020,NY,watching Gale put on makeup and lashes while she’s tripping on mushrooms like https://t.co/bMSVsYdEAN
Branson,Tue Nov 24 23:12:35 +0000 2020,MO,"@davidmweissman @Jim_Jordan BTW if you want to stay at home, wear a mask, don’t travel, be a slave   Have at it jus… https://t.co/wBlJ5t78lb"
Boston,Tue Nov 24 23:13:46 +0000 2020,MA,"@M_Agnello17 Team Eccher -175

Team Tripper +135"
Desoto,Tue Nov 24 23:13:46 +0000 2020,TX,@ThePurpleFlight She has no choice 😌
Queens,Tue Nov 24 23:14:16 +0000 2020,NY,I got to get a fucking license there’s no reason why I have to coordinate a fucking road trip to see my future girlfriend.
Wauseon,Tue Nov 24 23:14:48 +0000 2020,OH,@Matt_Pinner Road / Flight cases for this beast! https://t.co/fg4VotKgAG
Brooklyn,Tue Nov 24 23:15:19 +0000 2020,NY,@WandrMe @photoJDL We shall travel once more and attack meat plates like never before
Carrollwood,Tue Nov 24 23:16:46 +0000 2020,FL,"@YouTube 

@IvanDuque @PoliciaColombia @colombia_travel @RusiaColombia @maluma @shakira @piso21music"
San Antonio,Tue Nov 24 23:17:46 +0000 2020,TX,I'm going to #StayCozyAtHome this holiday season. Where will your travels take you?
Oak Ridge,Tue Nov 24 23:18:05 +0000 2020,TN,De Blasio Setting Up 'COVID Checkpoints' to Find NYC Travelers Violating Thanksgiving Quarantine via @gatewaypundit https://t.co/nRZs38DYJ4
Brookhaven,Tue Nov 24 23:18:12 +0000 2020,GA,@TomKGolf @EIGTravel @kinsale_ie @dannybrassil @LiamDeasy @BlacksBrewery @Failte_Ireland @wildatlanticway I’ve had… https://t.co/OmmDNW1Vt7
Garfield Heights,Tue Nov 24 23:18:14 +0000 2020,OH,Marc and Janise lame for not liking Stripes like Burberry. Hardest song on the album
Providence,Tue Nov 24 23:18:18 +0000 2020,RI,Realizing the only plane trip I took  in 2020 was to Vegas is very fitting for how this year gone. 🎲
Lakewood,Tue Nov 24 23:18:37 +0000 2020,CA,"@Lobby_Loiterer On my 8th grade trip to DC, Bill Clinton jogged past our bus with a while bunch of secret service jogging with him."
Plainfield,Tue Nov 24 23:18:45 +0000 2020,IN,Triplets dappin!!
Guaynabo,Tue Nov 24 23:19:02 +0000 2020,co,Please donate to cover travel expenses
Lakeway,Tue Nov 24 23:19:09 +0000 2020,TX,"SIRENS in Boca Chica! 🚨🚨🚨

This means we’re about 10 minutes away from an attempted triple-Raptor static fire with… https://t.co/sDv6HlHfgT"
