city,date,state,text
Covington,Mon Nov 23 23:00:13 +0000 2020,LA,@GanjaGirl0420 @HOSoles Tripping on acid i FKN love that😂😂
Brooklyn,Mon Nov 23 23:00:43 +0000 2020,NY,Honestly surprised no photos of me drunk and tripping acid at Voodoo Fest NOLA have circulated.
Norcross,Mon Nov 23 23:01:21 +0000 2020,GA,Trippy
Indian Harbour Beach,Mon Nov 23 23:02:42 +0000 2020,FL,@travelong6 Nobody want you pathetic loser.
Kansas City,Mon Nov 23 23:02:56 +0000 2020,MO,Planning my next trip alone buying my tickets &amp; hotel alone !
Norwood,Mon Nov 23 23:03:05 +0000 2020,MA,Airports full of people traveling 😡
Des Moines,Mon Nov 23 23:03:10 +0000 2020,IA,"Once this COVID situation is over, catch me on a flight every weekend ✌🏾"
Alpine,Mon Nov 23 23:03:25 +0000 2020,CA,Crypto is my latest obsession!! I’m glad I jumped in now with #XRP I just woke up and tripled my money over night. Crazy!
Metairie,Mon Nov 23 23:03:42 +0000 2020,LA,"@chick_in_kiev @beerfoodtravels i feel like it's really easy to gin up rumors to boost impressions, likes, abd RTs."
Pascagoula,Mon Nov 23 23:03:52 +0000 2020,MS,@soulquarius_ 👀 top 3 wrestlers that you would want to see do a triple threat match?(of course while in their prime)
Waipio,Mon Nov 23 23:04:01 +0000 2020,HI,@trippytipssy Shawty want a nigga to go blind behind it 😭
Pascagoula,Mon Nov 23 23:04:05 +0000 2020,MS,top 3 wrestlers that you would want to see do a triple threat match?(of course while in their prime)
Martin,Mon Nov 23 23:04:08 +0000 2020,TN,"“Scotty Doesn’t Know” -Eurotrip 
“Inside of You” -Aldous Snow, Get Him To The Greek, actually, all Aldous Snow songs"
Baltimore,Mon Nov 23 23:04:22 +0000 2020,MD,Earning my stripes with the boys #titanup⚔️ @ M&amp;T Bank Stadium https://t.co/e4oS9PPMtp
Fort Wayne,Mon Nov 23 23:05:28 +0000 2020,IN,"#AmericanAirlines Reverses Policy That Imposed Weight Limit On #Wheelchairs https://t.co/aX20sC3U7I
#travel #wheelchairLife"
Tampa,Mon Nov 23 23:08:13 +0000 2020,FL,My twitter be tripping it won’t let me post my fleets anymore wtf 😿
Miami,Mon Nov 23 23:08:33 +0000 2020,FL,"Travel Channel's 'KINDRED SPIRITS' Returns With New Season of Mind-Bending Hauntings Jan. 2 
https://t.co/IXmHYxBIvQ"
Asheville,Mon Nov 23 23:08:50 +0000 2020,NC,so true. i never know. do i wear it? do i not wear it? right now i’m traveling. i’m unsure of the etiquette in unfa… https://t.co/wXTFlHq3ky
Beavercreek,Mon Nov 23 23:09:08 +0000 2020,OH,@chknugspls and I went on a field trip to the inner harbor forever ago and we went to the candy store. Ever since t… https://t.co/LjXAEYxruB
Minnetonka,Mon Nov 23 23:09:17 +0000 2020,MN,@ehase02 Ahhh! Remind me to tell you about the time I had Richard Simmons on a flight and he wanted to replace… https://t.co/kckgA6Qi7m
St Petersburg,Mon Nov 23 23:09:20 +0000 2020,FL,Y’all is a trip
Los Angeles,Mon Nov 23 23:09:27 +0000 2020,CA,@hencray Yes! Cleansing everyday is needed just not exfoliating. Exfoliating strips your skin from natural oils you need!
St Bernard,Mon Nov 23 23:09:45 +0000 2020,OH,@JDMorgan Safe travels! ❤️
Boston,Mon Nov 23 23:10:20 +0000 2020,MA,I HATE EVERYONE who is traveling for thanksgiving. You’re ruining Christmas for those of us who are trying to be re… https://t.co/o5FZpzODja
Houston,Mon Nov 23 23:11:06 +0000 2020,TX,@_TrippyTee Damn i ain’t know i was ugly lol
Pottsville,Mon Nov 23 23:11:10 +0000 2020,PA,@Zigmanfreud I REALLY hope you stumble a bit going up a flight of stairs and bang  your knee cap on the edge of a stair.
Newport,Mon Nov 23 23:11:19 +0000 2020,OR,"Wish I coulda stuck with just tripping and falling on the ground the other night, but nope. I tripped and fell....FOR SOMEONE."
Middletown,Mon Nov 23 23:12:13 +0000 2020,CT,@TheRealHoarse @AngelaM_SLP Deputy of beach travel worldwide test.
Fort Wayne,Mon Nov 23 23:12:20 +0000 2020,IN,@officialairwolf @AEW @TopFlight612 Congrats dude 🥶🤙🏼
Waipio,Mon Nov 23 23:12:26 +0000 2020,HI,"@KingMidasDtx If we ain’t hooping hard going at it, I don’t wanna hoop. He trippin them the best sessions to hoop at"
Scottsdale,Mon Nov 23 23:13:09 +0000 2020,AZ,No hate to my stripper friends but they both should be allowed to open 😡
Philadelphia,Mon Nov 23 23:15:35 +0000 2020,PA,I wanna see strippers I want to just see ass and dick everywhere plz 😩
Los Angeles,Mon Nov 23 23:15:57 +0000 2020,CA,@CominSecond @IIsajorovatsug @bijancbayne @fortunatelyljm You trippin
Houston,Mon Nov 23 23:16:19 +0000 2020,TX,"ion even trip when oomf like mfs pictures, kuz ik how mfs look in person 😭😭"
Vidor,Mon Nov 23 23:16:41 +0000 2020,TX,Already Thinkin Bout My Next Trip Back Home. I’m Stayin For 2 Weeks Fk It
Tallahassee,Mon Nov 23 23:16:43 +0000 2020,FL,@_JayPeg @skylarvibes @ayeezaria When we go on our road trip to my city next summer I will shove one in your throat… https://t.co/vPFbctwYRQ
Corvallis,Mon Nov 23 23:17:56 +0000 2020,OR,I need a tripod for selfies
Wake Forest,Mon Nov 23 23:18:25 +0000 2020,NC,"@WalkerJohnB 👍🏼 2021 is the year I/we plan to make our trips we missed in 2020, so I am watching things as they develop"
New Orleans,Mon Nov 23 23:19:01 +0000 2020,LA,@BASJOE @MSNBC It’s already too late! He’s 74 years old he will not change his strips!!
Houston,Mon Nov 23 23:19:04 +0000 2020,TX,@_TrippyTee i got 6 braids in my head?
Beverly,Mon Nov 23 23:19:25 +0000 2020,MA,Where should I travel to next?
York,Mon Nov 23 23:19:57 +0000 2020,PA,@odogg_daGreat @BGrove916 I think I'll b alrite he's tripping
Cambridge,Mon Nov 23 23:19:59 +0000 2020,MA,"RELAXATION STATION: How to soothe your triple warmer-
https://t.co/eeyoKdiDdA 

#mondaythoughts #MondayMotivaton… https://t.co/mF6mtwuHZd"
Los Angeles,Mon Nov 23 23:20:12 +0000 2020,CA,@_TrippyTee i felt bad like how she seen my tweet 😭
Huntsville,Mon Nov 23 23:20:14 +0000 2020,AL,lmao still tripping off of how Gucci came in with a diss song he made for this battle😂
Belton,Mon Nov 23 23:21:02 +0000 2020,MO,I just want someone I can travel the world with
Los Angeles,Mon Nov 23 23:21:10 +0000 2020,CA,"@DuncanStripp Doesn’t make it right 😂 ... but in certain teas, I can understand. Builders Tea? Nooooooooo."
Chicago,Mon Nov 23 23:21:13 +0000 2020,IL,@OozingWound @Ganserband The writing sessions for Tales From Topographic Oceans were so intense that I can travel b… https://t.co/rPi3snINzb
Clovis,Mon Nov 23 23:21:36 +0000 2020,CA,I haven’t seen this car make a pass down a strip in so long I’m gonna cry when he does
Seagoville,Mon Nov 23 23:21:59 +0000 2020,TX,"Damn I really miss Bubba. I hate covid !! We could be going to fancy bars, getting fancy drinks and just trip out on everything together ."
Chatham,Mon Nov 23 23:22:31 +0000 2020,IL,@TopFlightDes3 https://t.co/zzKp9aXwve https://t.co/RoUu8XLDPk
Corpus Christi,Mon Nov 23 23:22:40 +0000 2020,TX,Because he’s bad ass and forward thinking #elonmusk BravoZulu from #tripledigithunter #surfman374 I think… https://t.co/JLudkmz0rI
Frisco,Mon Nov 23 23:22:59 +0000 2020,TX,It’s a straight concert on this mini road trip
Newark,Mon Nov 23 23:23:13 +0000 2020,NJ,@MsKellyBel @amandacarpenter Wasting money on personal golf trips. USA should bill him
Arcola,Mon Nov 23 23:24:22 +0000 2020,TX,The lamest rumor I’ve heard about myself is that I have a sugar daddy.. &amp; niggas pay for my trip. I’m sure a broke… https://t.co/KSY7BNECdz
Chicago,Mon Nov 23 23:24:29 +0000 2020,IL,@ForevverMalone Once it leaves my hands it's all yours. You do you. Might be a bit tough from the flight? I recommend braising.
SeaTac,Mon Nov 23 23:25:00 +0000 2020,WA,Im gonna have to work this entire flight damn
Orlando,Mon Nov 23 23:25:17 +0000 2020,FL,"Universal Trip, Summer 2013 🚀  Couldn’t tag everyone, but comment if you see yourself! What do you remember? @ Univ… https://t.co/laLEnocEbU"
Gulfport,Mon Nov 23 23:25:36 +0000 2020,MS,@ImTripped_Out @AGuyNamedDJ_ @iiM_KOBE @JetFlyin y’all tryna fade the cafe?
Manhattan,Mon Nov 23 23:26:08 +0000 2020,NY,"This 5-year-old boy was mauled by a pack of pit bulls in Jamaica (the island, not Queens). After a flight to New Yo… https://t.co/B0tUSAGuqk"
Arcola,Mon Nov 23 23:26:22 +0000 2020,TX,I PAY FOR ALL MY TRIPS. Bitches really be mad cuz they figure out how to live ass free as me!! What I do for a livi… https://t.co/2kVsEYUWwn
Houston,Mon Nov 23 23:26:30 +0000 2020,TX,These airbnbs for this DC trip look AMAZING!😍
Camden,Mon Nov 23 23:26:55 +0000 2020,NJ,♒️ not booking ya flight cause you be acting scary
Buena Park,Mon Nov 23 23:27:04 +0000 2020,CA,@songbirdnsh_t They in the car and I KNOW you miserable on that flight
