city,date,state,text,polarity
Falling Waters,Sat Nov 28 23:00:04 +0000 2020,WV,We took a day trip to Harpers Ferry and surrounding areas. Came across this place. @ Falling Waters Bridge &amp; Waterf… https://t.co/u2GlxE5RzT,0.0
Ash Acres,Sat Nov 28 23:00:14 +0000 2020,MI,Running out of protection ole boy you'll look good in stripes,0.7
Seattle,Sat Nov 28 23:00:59 +0000 2020,WA,Different words you need to know when you travel #Likee #HelloLikee https://t.co/XQGUAbfAPk,0.0
Inglewood,Sat Nov 28 23:01:02 +0000 2020,CA,"@ntimaweema Yeah I’m all caught up on the undoing, ima start the flight attendant after I finish this African movie “40sticks”",0.1
Stevensville,Sat Nov 28 23:01:12 +0000 2020,MD,@DisneyEllie78 Not very bright if you traveled to Disney without knowing this. And if you are complaining about cus… https://t.co/yrBTBtlgSS,-0.2692307692307692
Evanston,Sat Nov 28 23:01:30 +0000 2020,IL,Want to travel to #India? My novel will take you there! https://t.co/PTypgoIXnE,0.0
Philadelphia,Sat Nov 28 23:02:21 +0000 2020,PA,I left South Philly for the first time in a week. Going to China Town today felt like traveling,0.125
San Angelo,Sat Nov 28 23:02:24 +0000 2020,TX,for once I have a sancho whoooooo doesn’t trip 😇 might just decide to fall in love with this one,0.5
Union City,Sat Nov 28 23:02:27 +0000 2020,GA,How long after Thanksgiving do you guys continue to eat leftovers? 😋,-0.05
Addison,Sat Nov 28 23:03:06 +0000 2020,TX,I been watching Forensic Files since Thanksgiving Day. Contentment. 🤗,0.0
Champaign,Sat Nov 28 23:03:16 +0000 2020,IL,It was no Atlanta Fourth of July but I was glad to participate in the virtual Thanksgiving Peachtree 10k from my ga… https://t.co/sgpdeVai0f,0.25
Los Angeles,Sat Nov 28 23:03:34 +0000 2020,CA,I needed this holiday break. F*ck Thanksgiving and capitalism. https://t.co/9uy3L9liPK,0.0
Austin,Sat Nov 28 23:03:37 +0000 2020,TX,"Well annual Thanksgiving decorations trip a success.  #blessed #family#christmastree @ Austin, Texas https://t.co/xUfjrVTtox",0.3
Austin,Sat Nov 28 23:03:37 +0000 2020,TX,"Well annual Thanksgiving decorations trip a success.  #blessed #family#christmastree @ Austin, Texas https://t.co/xUfjrVTtox",0.3
Cary,Sat Nov 28 23:04:12 +0000 2020,NC,"Hope your Thanksgiving was enjoyable no matter what the meanie, or attendance 🙏❤️🦃 @ Isadore Chiropractic https://t.co/8zGMjBedGb",0.5
Fort Salonga,Sat Nov 28 23:04:31 +0000 2020,NY,Post Thanksgiving family hike at Makamah Nature Preserve. #thanksgiving #thankfulforfamily #thankfulfornature… https://t.co/Ojp2BwHRYe,0.0
