city,date,state,text,polarity
Tacoma,Sat Oct 24 23:00:31 +0000 2020,WA,Nobody cares but Over 8 runs tonight in the World Series is the bet tonight. Not a lock but it sure makes you root… https://t.co/sWkcVTVpp8,0.5
Scottdale,Sat Oct 24 23:00:46 +0000 2020,GA,My mom gets on the phone with my boyfriend and betrays me 🙄😂,0.0
Thousand Oaks,Sat Oct 24 23:01:01 +0000 2020,CA,"@alannarizzo @Dodgers Uggh! Move him to first &amp; put Kike in the OF? Move Muncy to DH, put Taylor at 2B? - 1B-Cody;… https://t.co/2fRiaJYa9s",0.25
Lancaster,Sat Oct 24 23:01:22 +0000 2020,CA,😂 @Dodgers https://t.co/BJ4FKg01oy,0.0
El Segundo,Sat Oct 24 23:01:49 +0000 2020,CA,"Headline if the @dodgers win #WorldSeries :
Priceless
And they all do a MasterCard commercial",0.6
Grayslake,Sat Oct 24 23:02:07 +0000 2020,IL,"Young love... 💚 @ Grayslake, Illinois https://t.co/M9HhFGxnwk",0.3
Arlington,Sat Oct 24 23:02:15 +0000 2020,TX,Informa @Dodgers que Bellinger siente molestia en la espalda que no le afecta para batear. Por eso no jugará defens… https://t.co/rWSShkymhM,0.0
Norwalk,Sat Oct 24 23:03:25 +0000 2020,CT,"2-0 day
Ride the bus Gus 
Oklahoma-250🏈✅
Oklahoma state -140 🏈✅
Dodgers ⚾️-160 8pm ⚾️",0.0
Thousand Oaks,Sat Oct 24 23:03:43 +0000 2020,CA,@mikekraz @alannarizzo @Dodgers Hey Mike. Just found out he’s DH now. You’re right!,0.3571428571428571
Fresno,Sat Oct 24 23:05:55 +0000 2020,CA,@Dodgers @realDonaldTrump BLUE OCTOBER &amp; Don’t forget it Mr. Liar .,0.0
Fishers,Sat Oct 24 23:06:07 +0000 2020,IN,Boiler Up!   And we see you too!   Go win a World Series!!!,1.0
St Petersburg,Sat Oct 24 23:06:17 +0000 2020,FL,@RaysFanGio @terry_bartlett Ji-Man Choi!,0.0
Thousand Oaks,Sat Oct 24 23:06:32 +0000 2020,CA,@alannarizzo @Dodgers Just saw he’s DH now,0.0
Bardstown,Sat Oct 24 23:06:43 +0000 2020,KY,Hoy vuelan mis amados #Dodgers de la mano del cíclope Urías.,0.0
Willow Oak,Sat Oct 24 23:07:07 +0000 2020,FL,@SuperMaddix64 @MLB @RaysBaseball No???,0.0
Willow Oak,Sat Oct 24 23:07:07 +0000 2020,FL,@SuperMaddix64 @MLB @RaysBaseball No???,0.0
San Diego,Sat Oct 24 23:07:26 +0000 2020,CA,@latimes Fuck the Dodgers! 🖕🏼,-0.5
Los Angeles,Sat Oct 24 23:08:02 +0000 2020,CA,Ready for this World Series game,-0.1
St Petersburg,Sat Oct 24 23:08:04 +0000 2020,FL,@RaysBaseball's Good Luck 1st Pitch today!!! LET'S TIE THIS SERIES UP BOYS!!!! GO #RAYS!!!! 👏👏💙⚾️💥🏆 #RAYSUP… https://t.co/mF5UFjtNyT,1.0
Mount Dora,Sat Oct 24 23:08:50 +0000 2020,FL,"One step closer tonight L.A. 
#LATogether #Julio 🇲🇽
Game 4 #WorldSeries 

#Dodgers https://t.co/cMbjtW8tZK",-0.4
Cypress,Sat Oct 24 23:09:34 +0000 2020,CA,"@samangell2007 @ericnus @JMcGuireMLB Exactly. The current Oriole 40-man roster, as well as those in the minors who… https://t.co/dQwA0ilgwc",0.125
Brooklyn,Sat Oct 24 23:09:44 +0000 2020,NY,@kelImago Also the mlb keeps changing the playoff rules to help them twice a week,0.0
Altadena,Sat Oct 24 23:10:09 +0000 2020,CA,@Hunny_Bunny22 🥃 Cheers Go Dodgers 💪⚾️💙,0.0
Ogden,Sat Oct 24 23:10:15 +0000 2020,UT,@RaysBaseball Oh yeah,0.0
Roseville,Sat Oct 24 23:10:24 +0000 2020,CA,@MLB @RaysBaseball https://t.co/iQhtx7sPex,0.0
Roseville,Sat Oct 24 23:10:24 +0000 2020,CA,@MLB @RaysBaseball https://t.co/iQhtx7sPex,0.0
Los Angeles,Sat Oct 24 23:10:55 +0000 2020,CA,#GoDodgers,0.0
Kirkwood,Sat Oct 24 23:11:32 +0000 2020,MO,#RaysUp,0.0
Tampa,Sat Oct 24 23:11:51 +0000 2020,FL,"So many @RaysBaseball fans ready for a win in Game 4! 

Pregame coverage at 7:30 on FOX Sports Sun &amp; FOX Sports Go!… https://t.co/TLzdgxuQKL",0.25
Los Angeles,Sat Oct 24 23:12:45 +0000 2020,CA,VAMONOS!!!#WorldSeries  LET’S GO!!! @Dodgers @DodgersDigest @DodgersFdn @redturn2 @court_with_a_K @buehlersdayoff… https://t.co/bUFvbGa4Ob,0.0
Alameda,Sat Oct 24 23:13:08 +0000 2020,CA,"Living in the San Francisco Bay Area, I’m a closet LA @Dodgers fan.",0.0
Abilene,Sat Oct 24 23:13:31 +0000 2020,TX,Belli's Game 7 homer is was the best #DodgersMoment this year! ULTRAMoment via @MichelobUltra,0.3
Tulsa,Sat Oct 24 23:13:32 +0000 2020,OK,@AROD @MLBONFOX Dodgers,0.0
Tulsa,Sat Oct 24 23:13:32 +0000 2020,OK,@AROD @MLBONFOX Dodgers,0.0
Indianapolis,Sat Oct 24 23:15:18 +0000 2020,IN,NEW Grayson Gear! Get the SIDE TONGUE mask! Also available in a neck gaiter! Happy shopping! We'll share a portion… https://t.co/9Iv69H5HxI,0.5710227272727272
